title,content
Active Directory (AD),A Microsoft service used to manage users and computers in a Windows network.
LDAP,The Lightweight Directory Access Protocol used to search and manage directory services.
Kerberos,A network authentication protocol that uses tickets to allow nodes to communicate securely.
Single Sign-On (SSO),An authentication process that allows a user to log in once for multiple systems.
Federated Identity,A system that allows a user to use the same credentials across different organizations.
Security Assertion Markup Language (SAML),An XML-based standard for exchanging authentication data.
OAuth 2.0,A framework that allows applications to gain limited access to user accounts.
OpenID Connect,An identity layer on top of OAuth 2.0 that provides user profile information.
Business Continuity Plan (BCP),A plan to maintain business operations during and after a disaster.
Disaster Recovery Plan (DRP),A plan focused on restoring the IT infrastructure after a major failure.
Recovery Point Objective (RPO),The maximum amount of data loss an organization is willing to accept.
Recovery Time Objective (RTO),The maximum amount of time a system can be down after a failure.
Hot Site,A fully equipped data center that can take over operations immediately.
Cold Site,A backup site that has power and space but no pre-installed computer equipment.
Warm Site,A backup site that has some equipment but requires setup before it is functional.
Full Backup,A complete copy of all selected data.
Incremental Backup,Backing up only the data that has changed since the last backup of any kind.
Differential Backup,Backing up only the data that has changed since the last full backup.
Offsite Storage,Storing backup media in a separate physical location for safety.
Geofencing,Using GPS or RFID to define a virtual geographic boundary for security alerts.
